ref,traded,session,bars,spread_mean,spread_std,abs_spread_mean,abs_spread_median,abs_spread_p75,abs_spread_p90,freq_dz1.0,freq_dz1.5,freq_dz2.0,freq_dz2.5,freq_dz3.0,freq_dz3.5,edge_dz1.0_f1,wr_dz1.0_f1,n_dz1.0_f1,hedge_edge_dz1.0_f1,hedge_wr_dz1.0_f1,hedge_n_dz1.0_f1,edge_dz1.0_f2,wr_dz1.0_f2,n_dz1.0_f2,hedge_edge_dz1.0_f2,hedge_wr_dz1.0_f2,hedge_n_dz1.0_f2,edge_dz1.0_f3,wr_dz1.0_f3,n_dz1.0_f3,hedge_edge_dz1.0_f3,hedge_wr_dz1.0_f3,hedge_n_dz1.0_f3,edge_dz1.5_f1,wr_dz1.5_f1,n_dz1.5_f1,hedge_edge_dz1.5_f1,hedge_wr_dz1.5_f1,hedge_n_dz1.5_f1,edge_dz1.5_f2,wr_dz1.5_f2,n_dz1.5_f2,hedge_edge_dz1.5_f2,hedge_wr_dz1.5_f2,hedge_n_dz1.5_f2,edge_dz1.5_f3,wr_dz1.5_f3,n_dz1.5_f3,hedge_edge_dz1.5_f3,hedge_wr_dz1.5_f3,hedge_n_dz1.5_f3,edge_dz2.0_f1,wr_dz2.0_f1,n_dz2.0_f1,hedge_edge_dz2.0_f1,hedge_wr_dz2.0_f1,hedge_n_dz2.0_f1,edge_dz2.0_f2,wr_dz2.0_f2,n_dz2.0_f2,hedge_edge_dz2.0_f2,hedge_wr_dz2.0_f2,hedge_n_dz2.0_f2,edge_dz2.0_f3,wr_dz2.0_f3,n_dz2.0_f3,hedge_edge_dz2.0_f3,hedge_wr_dz2.0_f3,hedge_n_dz2.0_f3,edge_dz2.5_f1,wr_dz2.5_f1,n_dz2.5_f1,hedge_edge_dz2.5_f1,hedge_wr_dz2.5_f1,hedge_n_dz2.5_f1,edge_dz2.5_f2,wr_dz2.5_f2,n_dz2.5_f2,hedge_edge_dz2.5_f2,hedge_wr_dz2.5_f2,hedge_n_dz2.5_f2,edge_dz2.5_f3,wr_dz2.5_f3,n_dz2.5_f3,hedge_edge_dz2.5_f3,hedge_wr_dz2.5_f3,hedge_n_dz2.5_f3,edge_dz3.0_f1,wr_dz3.0_f1,n_dz3.0_f1,hedge_edge_dz3.0_f1,hedge_wr_dz3.0_f1,hedge_n_dz3.0_f1,edge_dz3.0_f2,wr_dz3.0_f2,n_dz3.0_f2,hedge_edge_dz3.0_f2,hedge_wr_dz3.0_f2,hedge_n_dz3.0_f2,edge_dz3.0_f3,wr_dz3.0_f3,n_dz3.0_f3,hedge_edge_dz3.0_f3,hedge_wr_dz3.0_f3,hedge_n_dz3.0_f3,edge_dz3.5_f1,wr_dz3.5_f1,n_dz3.5_f1,hedge_edge_dz3.5_f1,hedge_wr_dz3.5_f1,hedge_n_dz3.5_f1,edge_dz3.5_f2,wr_dz3.5_f2,n_dz3.5_f2,hedge_edge_dz3.5_f2,hedge_wr_dz3.5_f2,hedge_n_dz3.5_f2,edge_dz3.5_f3,wr_dz3.5_f3,n_dz3.5_f3,hedge_edge_dz3.5_f3,hedge_wr_dz3.5_f3,hedge_n_dz3.5_f3
NI225,GDAXI,NY,3177,0.011102,1.615696,1.239749,0.976296,1.765840,2.662990,48.914070,31.381807,20.081838,11.772112,7.145105,3.745672,0.014807,50.900901,1554,0.022330,52.187902,1554,0.039558,50.998068,1553,0.030375,50.804894,1553,0.030742,50.676111,1553,0.023307,51.384417,1553,0.015721,51.354062,997,0.029484,52.457372,997,0.055690,52.811245,996,0.018233,50.401606,996,0.065113,52.811245,996,0.013979,50.702811,996,0.027292,51.097179,638,0.055738,52.507837,638,0.102607,54.075235,638,-0.013844,48.902821,638,0.119617,54.388715,638,-0.007788,49.373041,638,0.015103,50.000000,374,0.058068,51.336898,374,0.093636,50.802139,374,-0.032446,47.058824,374,0.110105,51.871658,374,-0.046519,47.593583,374,-0.020176,46.696035,227,0.080961,51.541850,227,0.016375,46.696035,227,0.098439,48.017621,227,0.057739,50.220264,227,0.025868,49.779736,227,-0.066869,43.697479,119,0.122365,54.621849,119,0.038685,49.579832,119,0.114998,44.537815,119,0.018480,52.100840,119,0.101618,51.260504,119
UK100,NI225,Tokyo,6156,-0.086276,1.877548,1.448500,1.160034,2.028673,3.113392,55.701754,38.466537,25.617284,16.715400,10.997401,6.838856,0.007561,46.952464,3429,0.018149,50.947798,3429,0.054716,49.460484,3429,-0.029769,48.498104,3429,0.076161,50.627005,3429,-0.050822,47.739866,3429,0.021065,47.761824,2368,0.014199,50.760135,2368,0.066797,49.239865,2368,-0.037866,48.310811,2368,0.087478,50.168919,2368,-0.062500,47.255068,2368,0.035463,47.685479,1577,0.014049,50.982879,1577,0.120452,49.778060,1577,-0.058061,47.748890,1577,0.148987,51.299937,1577,-0.077731,46.417248,1577,0.041103,48.396501,1029,0.037577,51.506317,1029,0.144358,50.826045,1029,-0.040316,47.910593,1029,0.196278,52.478134,1029,-0.084745,45.578231,1029,0.054108,46.971935,677,0.057671,51.403250,677,0.193160,51.403250,677,-0.054172,47.119645,677,0.241561,53.175775,677,-0.066207,45.790251,677,0.100362,48.931116,421,0.056525,50.831354,421,0.317368,53.919240,421,-0.114985,44.655582,421,0.366089,54.869359,421,-0.118483,43.230404,421
UK100,NI225,London,3302,-0.075765,1.878103,1.449697,1.148650,2.024406,3.093817,55.663234,39.309509,25.772259,17.383404,11.265899,6.753483,-0.008055,49.075082,1838,-0.035627,49.238303,1838,0.001630,49.619151,1838,-0.040772,49.292709,1838,-0.004166,47.878128,1838,-0.029474,49.727965,1838,0.015634,50.693374,1298,-0.046145,49.075501,1298,0.028702,51.309707,1298,-0.046996,48.151002,1298,0.021359,48.151002,1298,-0.029012,49.922958,1298,0.019030,50.646298,851,-0.052530,49.118684,851,0.028186,52.291422,851,-0.032532,48.883666,851,0.010949,48.296122,851,0.006600,51.468860,851,0.006658,49.651568,574,-0.038099,49.651568,574,0.025577,52.090592,574,-0.012701,49.303136,574,-0.016631,48.083624,574,0.045103,53.484321,574,0.038699,50.268817,372,-0.068533,47.311828,372,0.064679,52.956989,372,-0.033275,47.580645,372,0.046191,48.924731,372,0.031392,52.419355,372,0.033433,49.775785,223,-0.097791,47.085202,223,0.038734,51.121076,223,-0.066029,48.430493,223,0.052878,47.982063,223,-0.029500,52.017937,223
UK100,NI225,NY,3307,-0.112229,1.818742,1.403434,1.095840,2.000215,2.995384,54.157847,36.468098,25.007560,16.208044,9.978833,6.047777,-0.019614,44.723618,1791,0.027758,51.758794,1791,-0.002777,48.994413,1790,-0.018284,48.715084,1790,0.015653,48.379888,1790,-0.049081,48.659218,1790,-0.015723,44.693201,1206,0.036242,51.990050,1206,0.015837,49.460581,1205,-0.009770,48.464730,1205,0.062306,48.464730,1205,-0.071102,48.547718,1205,-0.027618,42.563482,827,0.052402,52.116082,827,0.045973,50.968523,826,-0.032710,46.610169,826,0.139346,50.484262,826,-0.115488,47.094431,826,-0.063564,40.298507,536,0.080812,52.611940,536,0.009201,48.971963,535,-0.012838,46.355140,535,0.140265,49.345794,535,-0.131262,46.728972,535,-0.072676,38.484848,330,0.074920,53.636364,330,0.008323,49.240122,329,-0.003369,46.504559,329,0.226599,49.240122,329,-0.161133,45.896657,329,-0.052723,37.500000,200,0.057351,52.500000,200,-0.003718,47.500000,200,0.030539,45.500000,200,0.109248,47.500000,200,-0.089210,47.000000,200
EUR50,GDAXI,Tokyo,1586,0.000666,0.862465,0.671147,0.536332,0.943862,1.440352,22.509458,8.448928,2.900378,0.819672,0.063052,0.000000,0.049707,50.420168,357,-0.039774,47.058824,357,0.013187,52.941176,357,-0.039237,44.817927,357,0.039639,51.540616,357,-0.049960,45.378151,357,0.076970,51.492537,134,-0.030715,47.761194,134,0.125565,52.985075,134,-0.018237,46.268657,134,0.095550,49.253731,134,-0.011445,47.761194,134,0.132021,47.826087,46,0.003334,50.000000,46,0.310882,56.521739,46,0.057589,52.173913,46,0.349449,58.695652,46,0.063168,52.173913,46,,,13,,,13,,,13,,,13,,,13,,,13,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0
EUR50,GDAXI,London,1586,0.018848,0.892864,0.687028,0.541578,0.973356,1.483109,23.770492,9.457755,3.530895,1.008827,0.189155,0.000000,0.001434,50.132626,377,-0.018389,47.745358,377,-0.037465,47.745358,377,-0.041041,46.419098,377,0.017686,51.458886,377,-0.041890,49.071618,377,0.153036,53.333333,150,-0.035896,46.666667,150,0.146943,54.666667,150,-0.036822,44.666667,150,0.213433,59.333333,150,-0.024400,47.333333,150,0.103208,44.642857,56,-0.010085,53.571429,56,0.116860,53.571429,56,-0.010044,44.642857,56,0.059341,60.714286,56,0.055734,51.785714,56,-0.056360,31.250000,16,0.051040,56.250000,16,0.017496,50.000000,16,0.093485,31.250000,16,-0.052060,56.250000,16,0.143666,62.500000,16,,,3,,,3,,,3,,,3,,,3,,,3,,,0,,,0,,,0,,,0,,,0,,,0
EUR50,GDAXI,NY,1587,0.016245,0.848257,0.654564,0.521483,0.932949,1.426832,21.361059,8.506616,2.709515,0.819156,0.126024,0.000000,0.096260,55.162242,339,-0.000219,50.147493,339,0.022425,51.622419,339,0.029684,55.162242,339,0.073965,51.327434,339,0.010950,51.622419,339,0.098303,54.814815,135,-0.025177,51.111111,135,0.006171,51.851852,135,0.018971,53.333333,135,-0.110146,48.148148,135,0.002229,57.037037,135,0.079158,51.162791,43,0.024920,60.465116,43,0.149591,62.790698,43,0.059398,58.139535,43,0.138734,53.488372,43,-0.006783,60.465116,43,,,13,,,13,,,13,,,13,,,13,,,13,,,2,,,2,,,2,,,2,,,2,,,2,,,0,,,0,,,0,,,0,,,0,,,0
XAUUSD,USDJPY,Tokyo,3184,0.064165,3.078740,2.447067,2.043203,3.573586,5.136831,73.649497,62.123116,51.381910,41.300251,32.317839,25.816583,0.019748,50.106610,2345,-0.013723,49.253731,2345,0.064369,51.599147,2345,-0.050280,48.699360,2345,0.067750,52.921109,2345,-0.041342,49.040512,2345,0.026531,50.556117,1978,-0.025835,48.483316,1978,0.071229,51.567240,1978,-0.070302,48.129424,1978,0.082803,53.488372,1978,-0.063479,48.382204,1978,0.011932,49.205379,1636,-0.008907,49.388753,1636,0.039133,50.611247,1636,-0.020989,49.572127,1636,0.048339,52.933985,1636,0.000004,49.511002,1636,0.010092,48.669202,1315,0.006934,49.885932,1315,0.034853,50.114068,1315,0.014564,50.646388,1315,0.043256,52.623574,1315,0.038629,50.114068,1315,0.002105,47.813411,1029,0.015276,50.826045,1029,0.025281,49.562682,1029,0.039118,51.214772,1029,0.025884,51.797862,1029,0.065574,50.145773,1029,0.023047,49.270073,822,-0.018229,49.148418,822,0.022532,50.121655,822,0.055646,50.486618,822,0.021723,53.284672,822,0.091026,49.878345,822
XAUUSD,USDJPY,London,1592,0.032861,3.109775,2.474454,2.080841,3.572664,5.218471,74.246231,61.620603,51.507538,42.085427,33.793970,26.444724,0.058698,52.368866,1182,-0.051575,48.223350,1182,0.060100,54.483926,1182,-0.068801,46.531303,1182,0.057904,53.214890,1182,-0.073399,47.715736,1182,0.016258,51.274210,981,0.019478,49.541284,981,0.024542,54.026504,981,0.004843,47.196738,981,0.027623,52.701325,981,-0.004353,48.114169,981,0.021086,51.829268,820,0.011443,48.902439,820,0.030535,53.902439,820,-0.015224,47.073171,820,0.036387,53.170732,820,-0.031842,48.414634,820,0.012385,51.940299,670,0.031377,49.104478,670,0.040714,53.880597,670,-0.010018,47.014925,670,0.040278,53.432836,670,-0.025982,48.059701,670,0.014105,52.416357,538,0.028931,50.000000,538,0.038519,53.159851,538,-0.016512,48.327138,538,0.050191,52.973978,538,-0.037867,48.513011,538,0.039420,53.681710,421,-0.021842,49.881235,421,0.056703,55.106888,421,-0.053045,47.268409,421,0.074600,55.106888,421,-0.094649,47.743468,421
XAUUSD,USDJPY,NY,1593,-0.000471,3.317738,2.643843,2.228911,3.841447,5.545598,74.952919,64.846202,55.116133,45.197740,36.346516,29.127433,-0.006739,47.654941,1194,0.008138,51.926298,1194,-0.010706,47.822446,1194,0.005679,52.763819,1194,0.020859,48.157454,1194,-0.027700,50.167504,1194,-0.008483,47.241045,1033,0.009901,51.887706,1033,0.002853,47.531462,1033,-0.009647,52.565344,1033,0.028351,47.531462,1033,-0.027140,50.435624,1033,-0.010401,45.330296,878,0.009613,51.936219,878,0.008828,46.924829,878,-0.029260,52.391800,878,0.027753,47.038724,878,-0.045603,50.000000,878,-0.006082,45.833333,720,0.000210,51.250000,720,-0.002143,45.555556,720,-0.029757,53.333333,720,0.027069,46.527778,720,-0.068024,49.722222,720,0.006727,47.495682,579,-0.017554,49.913644,579,0.003677,44.905009,579,-0.033013,53.886010,579,0.004243,45.768566,579,-0.001102,51.295337,579,0.019283,48.706897,464,-0.029670,49.353448,464,0.025113,45.043103,464,-0.068035,54.310345,464,0.010239,45.689655,464,-0.010363,51.508621,464
XAUUSD,EURUSD,Tokyo,3184,0.319847,1.926293,1.511071,1.204137,2.148958,3.200652,57.600503,41.017588,27.732412,18.969849,12.311558,7.914573,0.009373,48.527808,1834,-0.009399,50.272628,1834,-0.012268,48.909487,1834,-0.011935,50.763359,1834,-0.045629,47.055616,1834,-0.014415,50.054526,1834,0.008634,47.702910,1306,-0.024483,49.540582,1306,-0.038577,47.626340,1306,-0.001701,50.535988,1306,-0.089514,46.477795,1306,0.009007,50.153139,1306,0.034365,48.810872,883,-0.061142,48.357871,883,0.015591,49.037373,883,-0.050619,48.697622,883,-0.019418,48.357871,883,-0.076307,47.904870,883,0.044029,49.172185,604,-0.065249,49.503311,604,0.022649,49.006623,604,-0.061005,48.344371,604,0.018524,49.503311,604,-0.100723,47.350993,604,0.036348,48.979592,392,-0.067723,50.000000,392,0.026953,49.489796,392,-0.094383,47.448980,392,0.014734,48.469388,392,-0.064912,48.979592,392,0.031456,47.619048,252,-0.066445,49.603175,252,-0.012716,49.206349,252,-0.040917,47.222222,252,-0.017431,46.825397,252,-0.014108,47.222222,252
XAUUSD,EURUSD,London,1592,0.353489,2.020889,1.586586,1.317701,2.253470,3.272802,59.610553,44.472362,30.276382,20.477387,12.751256,8.103015,-0.111435,47.523709,949,0.049774,50.895680,949,-0.167941,45.732350,949,0.039676,50.895680,949,-0.151199,46.891465,949,0.010051,50.790306,949,-0.102942,47.457627,708,0.071562,50.847458,708,-0.151346,46.045198,708,0.055180,51.271186,708,-0.129513,47.457627,708,0.016540,50.564972,708,-0.075342,47.510373,482,0.015160,49.585062,482,-0.094106,47.095436,482,-0.022736,49.585062,482,-0.079413,47.925311,482,-0.067060,48.755187,482,-0.044427,48.159509,326,-0.042291,48.466258,326,-0.074949,47.546012,326,-0.083559,46.319018,326,-0.080096,48.159509,326,-0.125769,46.012270,326,-0.019093,49.753695,203,0.013470,49.753695,203,-0.027414,46.305419,203,-0.016064,48.275862,203,-0.036239,47.783251,203,-0.082381,48.275862,203,-0.056983,45.736434,129,0.052971,50.387597,129,-0.008015,45.736434,129,0.046905,50.387597,129,-0.017067,46.511628,129,-0.058472,48.837209,129
XAUUSD,EURUSD,NY,1593,0.293948,2.090114,1.634690,1.323062,2.312481,3.369482,61.519146,44.821092,32.391714,22.159448,14.689266,8.788449,0.013080,51.224490,980,-0.006811,51.020408,980,-0.006811,49.183673,980,-0.033961,51.632653,980,-0.016945,48.775510,980,-0.013539,51.632653,980,0.007417,50.700280,714,-0.004246,53.081232,714,-0.011272,48.879552,714,-0.053176,50.980392,714,-0.041768,46.638655,714,-0.028151,51.960784,714,0.001384,49.612403,516,-0.002508,53.488372,516,-0.023268,48.062016,516,-0.035613,52.325581,516,-0.043828,46.124031,516,-0.010494,52.131783,516,-0.005122,46.175637,353,-0.017455,54.390935,353,-0.054401,44.475921,353,-0.052809,51.558074,353,-0.053591,47.025496,353,-0.020006,51.274788,353,-0.003799,44.444444,234,-0.025861,52.564103,234,-0.036550,43.589744,234,-0.090910,51.282051,234,-0.026458,47.008547,234,-0.028198,50.854701,234,0.023802,47.142857,140,-0.053942,50.714286,140,0.028139,45.714286,140,-0.196111,47.857143,140,0.049371,49.285714,140,-0.114024,47.857143,140
SP500,USDJPY,Tokyo,3208,0.044714,2.688388,2.125699,1.754172,3.030254,4.396644,70.854115,56.234414,44.389027,34.663342,25.561097,19.295511,0.003864,49.098108,2273,-0.001541,50.549934,2273,0.031516,50.153982,2273,-0.031610,48.746150,2273,0.052611,52.529696,2273,-0.047398,47.206335,2273,0.010701,49.002217,1804,-0.007420,50.166297,1804,0.038593,50.332594,1804,-0.019358,48.558758,1804,0.065807,52.993348,1804,-0.028611,46.951220,1804,0.004424,48.946629,1424,-0.000555,50.210674,1424,0.024125,50.421348,1424,0.009809,49.157303,1424,0.032995,52.528090,1424,0.028863,47.612360,1424,0.006173,50.089928,1112,-0.001979,49.550360,1112,0.011691,50.539568,1112,0.012494,49.010791,1112,0.007959,52.248201,1112,0.053306,47.751799,1112,0.005899,49.878049,820,-0.003043,49.024390,820,-0.002552,50.243902,820,0.040958,48.658537,820,-0.026134,51.707317,820,0.114429,49.024390,820,-0.005506,49.273021,619,0.005331,49.111470,619,-0.026021,49.757674,619,0.051705,48.788368,619,-0.100466,50.403877,619,0.188439,49.919225,619
SP500,USDJPY,London,1601,0.027154,2.672469,2.102250,1.738167,2.984454,4.404898,69.893816,55.340412,43.910056,32.916927,24.797002,18.363523,0.031295,50.938338,1119,-0.032562,47.274352,1119,0.055932,52.993744,1119,-0.045839,45.576408,1119,0.065749,52.815013,1119,-0.036065,47.006256,1119,0.028234,51.467269,886,-0.025812,46.726862,886,0.043759,53.386005,886,-0.006048,45.823928,886,0.055201,53.047404,886,-0.001523,46.726862,886,0.028379,50.355619,703,0.008256,48.079659,703,0.048793,52.773826,703,0.064143,46.514936,703,0.068243,52.916074,703,0.055467,47.795164,703,-0.007403,49.525617,527,0.066726,48.766603,527,0.015252,51.423150,527,0.125695,47.817837,527,0.050465,52.182163,527,0.091549,49.525617,527,-0.042952,49.874055,397,0.087796,46.347607,397,-0.007705,50.881612,397,0.117608,46.599496,397,0.021686,51.385390,397,0.096765,48.110831,397,-0.016020,51.020408,294,0.051669,46.258503,294,0.023807,51.700680,294,0.058172,45.238095,294,0.043564,52.721088,294,0.051174,45.578231,294
SP500,USDJPY,NY,1603,0.044064,2.899397,2.316653,1.948067,3.276622,4.722886,73.799127,60.948222,48.533999,38.802246,30.068621,22.083593,0.012040,50.549451,1183,-0.006068,49.196957,1183,0.018517,49.407783,1182,-0.023743,51.353638,1182,0.039588,48.477157,1182,-0.030288,49.915398,1182,0.018746,50.562948,977,-0.008146,49.232344,977,0.022509,49.282787,976,-0.033391,51.229508,976,0.049817,48.565574,976,-0.052506,49.180328,976,0.022150,49.485861,778,0.000607,50.385604,778,0.047090,50.064350,777,-0.047228,51.351351,777,0.090216,49.549550,777,-0.094283,48.262548,777,0.024758,49.678457,622,-0.009187,50.000000,622,0.033865,49.758454,621,-0.027455,52.979066,621,0.081464,49.275362,621,-0.074307,48.953301,621,0.028619,50.829876,482,-0.023132,49.792531,482,0.057818,50.727651,481,-0.048461,52.390852,481,0.079341,48.856549,481,-0.080023,48.024948,481,0.033322,50.000000,354,-0.037419,49.717514,354,0.049682,48.870056,354,-0.053326,53.389831,354,0.048693,47.740113,354,-0.036319,49.717514,354
SP500,AUDUSD,Tokyo,3050,0.326936,1.711555,1.370936,1.163081,1.974099,2.896595,55.409836,38.065574,24.524590,15.245902,8.721311,4.622951,0.010188,50.710059,1690,-0.021212,49.230769,1690,0.003591,50.591716,1690,-0.021494,47.988166,1690,-0.006678,51.893491,1690,-0.027335,49.526627,1690,0.008406,50.215332,1161,-0.019877,49.526270,1161,-0.002833,50.818260,1161,-0.021492,46.942291,1161,-0.042872,51.507321,1161,-0.019923,49.440138,1161,-0.006875,49.197861,748,-0.009804,49.732620,748,-0.036899,48.930481,748,0.021898,48.262032,748,-0.078127,50.668449,748,0.066223,52.272727,748,-0.007585,48.602151,465,0.010919,50.107527,465,-0.014992,50.107527,465,0.043688,48.172043,465,-0.017294,51.827957,465,0.106581,50.752688,465,-0.048032,46.616541,266,0.036865,50.751880,266,-0.036954,49.624060,266,0.068983,48.872180,266,-0.053988,51.503759,266,0.168972,51.127820,266,-0.019766,48.936170,141,0.004161,51.063830,141,0.005177,48.936170,141,0.164419,49.645390,141,0.023284,53.900709,141,0.295023,56.028369,141
SP500,AUDUSD,London,1522,0.360838,1.752767,1.416852,1.217431,1.988833,2.934081,57.095926,40.341656,24.901445,15.637319,9.264126,5.256242,-0.008307,50.402762,869,0.017621,49.597238,869,-0.022202,51.208285,869,0.021194,49.482163,869,-0.029721,49.482163,869,0.051040,50.632911,869,-0.037464,49.837134,614,0.042522,49.022801,614,-0.058029,50.000000,614,0.044994,49.674267,614,-0.049547,49.511401,614,0.068387,50.814332,614,-0.075809,46.965699,379,0.123256,51.187335,379,-0.093089,49.076517,379,0.120960,51.187335,379,-0.091912,49.868074,379,0.153307,53.298153,379,-0.057040,44.957983,238,0.119025,50.840336,238,-0.081872,46.638655,238,0.124148,50.840336,238,-0.084189,47.058824,238,0.216504,53.781513,238,-0.039063,47.517730,141,0.180139,51.063830,141,-0.101821,49.645390,141,0.166406,50.354610,141,-0.113965,50.354610,141,0.231509,53.191489,141,-0.107819,45.000000,80,0.232010,53.750000,80,-0.200363,47.500000,80,0.291619,53.750000,80,-0.203036,47.500000,80,0.355674,55.000000,80
SP500,AUDUSD,NY,1524,0.369520,1.877276,1.505015,1.229668,2.178160,3.254933,57.939633,41.141732,28.083990,19.094488,12.598425,6.955381,-0.022794,47.112118,883,0.056141,52.887882,883,-0.062774,45.578231,882,0.076234,55.215420,882,-0.044470,46.258503,882,0.069608,54.421769,882,-0.032385,46.411483,627,0.059268,53.748006,627,-0.062215,45.686901,626,0.067063,54.952077,626,-0.068433,46.166134,626,0.089925,54.792332,626,-0.050527,42.757009,428,0.091808,56.542056,428,-0.085469,44.626168,428,0.127400,56.775701,428,-0.105753,44.859813,428,0.154271,56.308411,428,-0.052158,42.955326,291,0.096193,56.013746,291,-0.044203,46.735395,291,0.094668,55.326460,291,-0.068046,45.704467,291,0.121040,54.639175,291,-0.031243,44.791667,192,0.100690,55.208333,192,-0.085592,45.833333,192,0.159552,57.812500,192,-0.127504,44.270833,192,0.235813,59.375000,192,-0.007358,47.169811,106,0.134622,56.603774,106,-0.070739,48.113208,106,0.235345,59.433962,106,-0.130295,44.339623,106,0.371680,64.150943,106
