ticker,config,trades,pf,sharpe,max_dd,pos_years,total_years,last2_pnl,net_pnl,2018,2019,2020,2021,2022,2023,2024,2025
AJG,A,206,0.9521,-0.0924,19.3437,3,7,5431.96,-8338.26,-1655.96,778.53,2310.54,-8349.11,-1061.20,6183.43,-751.47,
AJG,B,254,0.9733,-0.0595,18.2904,4,7,888.08,-9791.86,483.91,2901.11,3317.64,-7817.22,-1928.70,4196.12,-3308.04,
ALGN,A,103,1.1398,0.1481,18.1557,2,5,206.48,7915.80,,11845.96,-863.29,-1937.35,,-6927.25,7133.73,
ALGN,B,116,0.8796,-0.1722,20.1583,2,5,299.78,-9847.40,,1426.85,-2060.91,-8237.73,,-5432.68,5732.46,
AMD,A,36,1.0452,0.0309,16.6691,2,4,-5845.77,-499.32,2554.01,,,4748.32,,-913.18,,-4932.59
AMD,B,35,1.7569,0.3998,10.5470,3,4,10518.57,16210.22,661.21,,,7306.79,,14262.86,,-3744.29
APO,A,167,0.8209,-0.3397,26.3952,4,8,-889.19,-22641.62,983.12,-5224.31,3757.01,-10695.36,-2631.46,1761.46,-2484.69,1595.50
APO,B,201,0.8713,-0.2702,27.2564,1,8,-2551.19,-23704.71,-1912.09,-2319.72,2560.38,-7229.73,-258.32,-440.92,-691.54,-1859.65
ARES,A,50,1.2062,0.1694,9.6047,1,3,4017.59,579.56,,-239.19,-3425.95,,,,,7443.54
ARES,B,57,1.3668,0.3183,6.3985,2,3,8162.16,3942.54,,-411.58,785.61,,,,,7376.55
ATO,A,174,1.1195,0.1999,9.5813,5,7,4882.20,-1446.20,,2608.21,1628.16,-4717.64,-1661.78,1712.52,4321.32,560.88
ATO,B,209,1.0128,0.0261,12.2816,4,7,979.27,-6442.73,,5203.69,2547.03,-7329.51,-2134.55,1464.93,5029.46,-4050.19
AVGO,A,156,1.4312,0.5269,10.8160,3,6,8238.45,24600.55,,13462.67,-2756.66,8273.27,-841.89,9316.71,,-1078.27
AVGO,B,177,1.4462,0.6214,8.9481,5,6,15441.79,31556.67,,14402.34,-1072.72,4664.25,123.84,11655.78,,3786.01
AVY,A,146,1.1582,0.2315,7.4203,4,7,2318.47,2836.10,,-1256.36,1416.04,2509.21,-3538.05,4776.20,2702.89,-384.42
AVY,B,182,1.0483,0.0901,7.6719,4,7,511.01,-1396.59,,-2337.12,723.25,1519.47,-727.14,3158.23,-187.35,698.37
AXP,A,190,1.1934,0.3078,19.5747,5,7,4578.39,8887.50,-175.70,1189.02,6758.70,21632.03,,-19533.91,2898.10,1680.29
AXP,B,203,1.1552,0.2736,9.3579,3,7,179.34,7290.68,-1089.55,-2018.39,5014.71,15761.75,,-5144.17,622.18,-442.84
BR,A,143,1.0612,0.0940,6.2458,3,5,782.06,-1511.47,,-3560.08,3731.35,,,1038.65,1306.11,-524.05
BR,B,178,0.9578,-0.0801,10.2084,2,5,-1444.94,-6682.09,,-1168.29,4070.02,,,-3713.72,331.65,-1776.59
CASY,A,143,0.6924,-0.5258,26.0003,3,8,2640.11,-17589.06,1350.76,2981.62,-8137.24,-2185.80,-4071.68,-7640.67,-39.56,2679.67
CASY,B,171,1.0818,0.1475,15.6335,4,8,831.61,1892.25,4569.45,4116.19,1060.56,-3704.66,-326.00,-1171.41,-1166.67,1998.28
CAT,A,149,1.0965,0.1393,8.8927,5,8,2341.91,2769.40,-3656.87,3082.86,2703.68,-782.43,1201.55,754.65,3971.17,-1629.26
CAT,B,146,1.2454,0.3359,8.8955,6,8,2668.37,12297.45,-1630.08,1135.61,9526.78,388.50,2551.94,612.04,7488.61,-4820.24
COHR,A,65,1.9376,0.6426,10.9330,4,8,33785.06,25474.03,-370.60,-281.56,148.65,-2724.58,-3387.30,3040.57,10298.42,23486.64
COHR,B,80,1.5739,0.5342,11.0821,5,8,27061.02,18588.44,242.37,-4784.92,-2394.49,3140.87,-3331.16,4237.59,9921.65,17139.37
COR,A,181,0.8200,-0.3200,20.0139,1,7,-5468.64,-17578.16,-3413.45,-341.67,-284.81,-4974.43,2161.84,-5164.28,-304.36,
COR,B,220,1.0329,0.0627,12.7528,5,7,-4038.99,-3919.33,-3843.90,1947.70,1729.13,6036.73,1176.01,-6851.52,2812.53,
CVNA,A,38,0.7218,-0.2940,13.1923,1,3,-5604.18,-10259.44,,-3855.90,,-6605.51,,1001.32,,
CVNA,B,39,0.6151,-0.4473,14.3715,0,3,-6511.17,-14282.27,,-7044.78,,-2623.46,,-3887.72,,
DPZ,A,143,0.8499,-0.2610,10.7324,2,6,-5585.34,-8442.39,,-1600.73,1125.73,-3670.46,,2781.65,-18.37,-5566.97
DPZ,B,160,0.9297,-0.1086,14.8599,3,6,-7808.06,-6183.24,,7532.69,114.46,-4247.66,,14.38,-223.83,-7584.23
EFX,A,146,0.6997,-0.4398,23.5067,2,7,1145.30,-19445.13,-969.68,2483.10,-6036.44,-304.37,,-12529.24,1257.74,-112.44
EFX,B,175,1.0907,0.1677,11.7627,5,7,-51.94,1597.41,206.49,1133.55,-3071.75,694.55,,6717.87,2389.42,-2441.36
EME,A,69,0.8268,-0.2093,10.0597,4,8,846.11,-6170.04,-1290.14,-1153.83,-684.42,62.08,-3403.58,1728.83,349.52,496.59
EME,B,100,0.9706,-0.0394,17.9940,4,8,8804.93,-4327.90,-4818.08,-3985.97,-2819.32,-2594.01,349.78,3967.39,2000.85,6804.07
EPAM,A,47,0.9520,-0.0435,11.3347,5,6,-6484.25,-1495.76,,3231.95,820.42,701.36,,918.56,-7287.61,803.36
EPAM,B,70,0.9188,-0.0964,14.0911,4,6,-7795.10,-3602.43,,421.48,2358.34,2661.93,,-304.19,-11440.63,3645.53
ETN,A,218,1.6749,0.9616,6.9521,8,8,16296.01,43291.02,2003.44,6778.73,7778.98,11625.34,995.99,5188.22,3773.86,12522.15
ETN,B,244,1.6374,0.9569,9.4922,8,8,28227.34,57999.98,1316.18,2994.44,10718.94,15808.86,5388.13,1749.28,4263.86,23963.48
EXR,A,89,1.0089,0.0116,9.1332,4,6,2772.10,-2441.81,,3427.96,-2394.62,2399.36,-5936.81,2435.69,336.41,
EXR,B,117,1.1679,0.2374,10.3940,4,6,-1886.84,4106.16,,4237.16,1047.86,11110.04,-6638.94,2606.92,-4493.76,
FDX,A,94,0.7629,-0.3629,13.8210,2,6,-6281.67,-9977.06,-1285.32,,692.88,4555.98,,-6128.09,-4127.21,-2154.46
FDX,B,100,0.7495,-0.4053,15.9821,1,5,-4022.02,-13532.31,-5616.24,,,4950.18,,-7298.59,-3857.69,-164.33
FICO,A,57,0.6374,-0.3730,17.4325,1,3,-3133.04,-10327.97,,,,-6823.10,-5798.23,2665.19,,
FICO,B,64,0.7393,-0.3048,13.7998,1,4,2605.21,-9280.25,,,,-5164.55,-6307.31,3998.21,,-1393.00
FIX,A,38,0.7018,-0.2462,11.7680,3,5,290.74,-7808.73,,-7854.92,472.89,1347.96,,-291.75,,582.50
FIX,B,57,0.8446,-0.1643,13.9510,4,5,1346.76,-7424.26,,-9175.60,3458.54,20.88,,50.12,,1296.64
FOXA,A,88,1.2597,0.2863,19.7363,2,4,-12248.49,-1266.24,,,-467.18,21794.71,,-13922.59,1674.10,
FOXA,B,93,1.0742,0.0966,20.8468,1,4,-7394.08,-7347.70,,,-467.18,10689.64,,-6532.27,-861.80,
GE,A,102,1.9570,0.6609,15.8633,4,7,13098.83,18361.83,,2980.85,-644.70,-3479.48,-1194.65,19453.78,1915.80,11183.04
GE,B,118,0.7207,-0.2864,42.4460,1,6,-3901.57,-28125.77,,3891.01,-1161.81,-11295.78,-2341.86,-3124.72,-776.85,
GNRC,A,64,0.9745,-0.0275,9.9258,2,5,-5488.60,-3191.24,651.78,-1640.55,,,,5811.77,-1735.59,-3753.01
GNRC,B,91,1.2066,0.2573,10.3335,3,5,5556.76,4357.02,-643.92,-3686.32,,,,6983.66,4128.56,1428.20
GPN,A,82,0.5966,-0.7177,15.7437,0,4,-2513.05,-14557.59,,,-938.97,-9134.78,,-2289.65,-223.40,
GPN,B,93,0.9509,-0.0761,9.3119,2,4,4304.52,-4084.97,,,-2433.94,-3607.15,,902.49,3402.02,
GRMN,A,160,1.5197,0.7092,4.5571,6,7,5676.08,14076.75,-1901.06,353.47,2038.15,9536.54,,3903.77,2057.63,3618.45
GRMN,B,183,1.2735,0.4583,6.4755,6,7,6202.83,8912.67,-2121.30,157.26,1692.22,7921.56,,1353.13,2575.56,3627.27
GS,A,112,1.5633,0.5907,6.2317,6,6,7455.76,18358.04,,2185.57,3978.35,,1890.70,4330.42,66.94,7388.82
GS,B,129,1.3961,0.5123,10.2643,4,8,13016.44,18205.48,-576.69,-2632.29,-1161.17,3449.65,4895.32,2839.98,-1266.14,14282.59
HII,A,118,1.6707,0.7655,5.0232,7,8,2476.98,22252.86,4435.04,5486.49,1045.35,6990.68,1059.69,3093.79,-631.98,3108.96
HII,B,143,1.5440,0.7243,8.3569,5,8,9268.75,24485.58,-881.36,9173.67,2367.17,12088.02,-1894.81,-2833.55,1479.21,7789.54
HLT,A,212,1.0472,0.0883,17.5145,3,7,8119.05,-2432.59,,-1913.84,-895.82,-3639.08,-1668.79,3198.01,310.01,7809.04
HLT,B,230,1.1039,0.2035,12.1540,3,7,8120.53,2713.73,,-2222.38,-4693.94,12909.78,-977.37,-3931.16,894.89,7225.63
HSY,A,168,1.0494,0.0766,9.2480,4,7,799.70,-1771.29,,418.82,1719.07,-6235.09,-260.33,5583.85,-2346.29,3145.99
HSY,B,197,0.8078,-0.3965,17.3049,2,7,-3351.96,-16079.85,,1370.18,-5146.87,1719.65,-538.30,-5759.87,-1466.88,-1885.09
HWM,A,146,1.1814,0.2779,11.0345,4,6,5781.42,-5708.23,,-750.99,4925.04,-4172.24,4040.47,5147.83,633.59,
HWM,B,176,1.1334,0.2384,14.6539,3,6,4557.06,-8983.47,,-1157.19,4469.35,-3857.13,5258.69,4879.58,-322.53,
IT,A,150,0.6915,-0.3336,26.3332,2,8,168.75,-21407.29,-4255.28,-12610.80,-104.51,-4167.39,-769.86,2427.89,902.03,-733.28
IT,B,189,0.7949,-0.2601,28.7371,2,8,487.27,-18760.23,-4119.25,-6649.42,-28.98,-4790.07,1034.05,-1849.70,1245.00,-757.73
LII,A,86,0.7852,-0.2997,9.6149,1,5,-4820.19,-7424.46,,661.03,-1998.48,-229.98,,-1912.20,,-2907.99
LII,B,110,1.1596,0.2156,13.7581,3,5,2654.20,6144.66,,9730.15,6538.09,-11331.57,,6953.23,,-4299.03
LITE,A,112,1.1202,0.1418,14.6539,5,8,4692.60,979.17,-6017.81,3289.66,992.29,-3866.58,1950.97,6235.41,5359.31,-666.70
LITE,B,130,0.9162,-0.1223,28.1016,5,8,6881.09,-12771.39,-5656.77,-12470.63,3069.87,-4455.37,945.78,5097.20,6013.77,867.32
LYV,A,86,0.8899,-0.1431,15.5515,3,6,5433.21,-7274.44,,-4382.55,-738.62,-5879.90,,1976.74,1249.61,4183.60
LYV,B,99,1.1874,0.1738,14.8545,3,6,-2224.70,4019.45,,-648.25,-1763.64,8912.70,,4348.53,-5016.14,2791.44
MPC,A,127,1.4512,0.5735,7.6372,6,7,12401.93,22641.92,,-66.87,36.15,14443.82,776.16,1589.25,386.43,12015.50
MPC,B,144,1.3162,0.4625,10.2421,5,7,1627.39,17921.31,,-3543.25,34.73,25381.74,-803.16,2433.56,1086.75,540.63
MSCI,A,130,1.7409,0.7019,12.5894,5,7,22008.17,31861.02,,2719.71,-174.44,13891.53,3251.10,-8534.89,18065.50,3942.67
MSCI,B,165,1.3859,0.5092,19.8137,5,7,15135.45,26164.25,,3593.28,-69.93,14368.13,2177.33,-7373.17,9924.52,5210.93
MSI,A,207,1.3566,0.5633,5.3491,6,7,2862.99,16278.41,,1393.21,3579.29,900.67,4920.18,6316.11,3825.44,-962.45
MSI,B,244,1.2673,0.4892,7.7896,7,7,3812.16,17486.37,,2471.37,3493.55,3163.39,2632.85,6295.53,2019.02,1793.13
NOC,A,110,1.7846,0.6145,10.0027,6,7,13468.80,22175.29,,5845.33,1257.79,2369.01,-435.00,882.90,6652.82,6815.98
NOC,B,130,1.2670,0.3094,10.5243,5,7,3935.12,11042.68,-599.74,4294.37,-544.84,2062.51,,3289.36,469.85,3465.27
NOW,A,113,0.9596,-0.0511,17.1199,3,6,-5278.15,-3303.83,,8158.45,3511.94,3311.50,,-12082.94,-3788.82,-1489.33
NOW,B,130,0.8286,-0.2476,22.6237,2,6,-2907.32,-13245.74,,6043.03,2748.70,-13712.41,,-4493.55,-1716.43,-1190.88
PGR,A,136,1.4252,0.5155,10.3598,5,7,2718.31,10723.60,559.75,4113.48,5133.99,6724.62,-2698.68,-569.87,3288.19,
PGR,B,147,1.3236,0.4017,17.5385,4,7,10487.96,12147.37,-1278.72,4438.68,10770.47,-2563.23,-3518.31,4709.63,5778.33,
PKG,A,162,0.8675,-0.2124,11.5397,1,6,-1352.39,-11061.61,,-5857.64,-1850.99,4838.93,,-2412.81,-441.60,-910.79
PKG,B,187,1.1319,0.2286,13.7910,3,6,-271.73,2669.13,,-4329.87,-2329.35,462.69,,14444.27,2467.81,-2739.54
POOL,A,112,1.2244,0.2838,7.1510,4,6,-2332.34,7543.72,-375.76,1540.03,473.47,9605.28,,3280.75,-5613.09,
POOL,B,131,1.2074,0.3055,8.6974,4,6,-1874.84,10323.57,2933.06,3777.99,187.50,7014.51,,-1131.37,-743.47,
RCL,A,138,0.9095,-0.1449,20.9639,2,6,4578.84,-11121.54,-1840.02,-3654.02,-2051.75,-2724.84,1487.95,3090.89,,
RCL,B,145,0.9213,-0.1315,27.2743,1,6,9110.93,-10710.90,-1289.55,-7964.37,-2996.34,-2365.41,-325.05,9435.98,,
STLD,A,100,0.6880,-0.4342,26.9531,3,7,-5583.63,-21172.74,-3513.64,1335.95,-9823.23,,-5877.76,7109.93,-7134.58,1550.95
STLD,B,107,0.7931,-0.3224,20.8396,3,7,-12489.95,-17182.13,-2380.95,2916.04,472.65,,-2838.39,2857.65,-10950.31,-1539.64
STX,A,89,1.0476,0.0576,10.1915,4,6,1111.88,-3693.33,,-4092.00,424.77,74.58,,4079.52,2699.57,-1587.69
STX,B,96,1.2514,0.3118,10.1493,4,5,8164.46,4028.68,,860.95,-346.48,1310.68,,6457.12,1707.34,
TDG,A,144,1.8492,1.0110,5.3814,6,7,21685.46,39214.31,-282.75,3942.45,5728.53,9023.20,102.43,12839.95,,8845.50
TDG,B,162,1.1987,0.3134,15.6037,4,7,16864.59,12520.53,1702.55,2903.91,-3316.23,-3546.53,-1155.07,13701.18,,3163.41
TER,A,97,0.9423,-0.0686,15.5853,1,4,-10604.79,-7914.87,,-5059.39,12690.88,-438.40,,-10166.39,,
TER,B,104,0.9314,-0.0908,19.8810,2,4,-10532.07,-9394.18,,-6251.40,12532.58,5018.62,,-15550.70,,
TPL,A,21,0.7935,-0.1455,11.0440,3,5,-2273.33,-3582.24,,2997.56,254.34,,-4497.02,-3953.38,1680.05,
TPL,B,34,0.7909,-0.2030,15.2555,3,6,-2119.62,-5817.49,-1319.01,724.70,589.27,,-3580.74,-8621.84,6502.22,
TRGP,A,108,1.3815,0.4464,6.9220,3,8,-2148.56,9612.70,8018.29,-236.97,125.94,-834.72,-584.82,11564.59,-1716.55,-432.01
TRGP,B,135,1.2410,0.3655,11.1861,4,8,-151.01,5557.47,13115.56,-245.43,-3377.05,2445.91,-1488.14,3386.74,-301.06,150.05
TT,A,189,1.2075,0.3058,17.0516,5,8,5796.73,8034.32,1193.32,2967.55,-3283.55,-2066.59,-918.87,9251.32,1492.50,4304.23
TT,B,195,1.0147,0.0237,21.8167,4,8,-5783.34,-3945.67,5648.11,6986.74,-6092.25,-5425.07,-695.02,6663.84,3173.11,-8956.45
URI,A,53,1.1338,0.1329,8.0323,2,5,2981.99,3378.44,,,-341.60,-944.80,2070.29,5858.39,,-2876.40
URI,B,59,1.6580,0.5797,7.3595,3,5,18997.12,16612.51,,,-341.60,892.52,-2490.78,11404.79,,7592.33
VLO,A,120,0.9876,-0.0179,20.7358,3,7,13816.97,-4846.25,,173.84,-1591.56,-8181.74,-370.77,-4499.44,5298.45,8518.52
VLO,B,120,0.8899,-0.1666,21.6697,3,7,6970.75,-10849.85,,2370.24,-2026.66,-9180.55,2456.61,-7325.61,7828.81,-858.06
WAB,A,206,0.7737,-0.4569,23.9653,3,7,2128.03,-21182.36,,-426.13,-5073.90,-9199.38,1260.52,-2715.02,813.66,1314.37
WAB,B,227,0.8331,-0.3616,26.3408,4,7,1224.89,-20773.16,,110.57,-8037.54,-11737.50,4407.69,974.10,1546.83,-321.94
XYZ,A,107,0.9307,-0.0969,23.9299,3,6,9544.83,-8453.44,,-1521.44,1327.29,-15777.14,,2113.43,-845.73,10390.56
XYZ,B,113,0.8686,-0.2068,25.8134,3,6,-9410.24,-15217.80,,2731.40,7468.76,-12177.84,,559.12,-1953.60,-7456.63
ZBRA,A,42,1.3379,0.2569,6.5424,3,5,5093.32,5145.75,,-2280.95,472.22,2382.84,,-492.98,5586.30,
ZBRA,B,50,0.7376,-0.3181,13.6170,1,5,-6094.04,-8434.78,,-1668.78,1183.35,-1267.03,,-4520.09,-1573.95,
